Title,Date,Duration,Genres,Director,Crew,Synopsis,Note_Ac,User_score_2
Wonka,13 décembre 2023,1h 57min,[],N/A,"['Timothée Chalamet', 'Calah Lane']","Découvrez la jeunesse de Willy Wonka, l’extraordinaire inventeur, magicien et chocolatier de l’univers féérique de Charlie et la chocolaterie de Roald Dahl, dans le film WONKA. Timothée Chalamet incarne ce jeune homme débordant d’idées et déterminé à changer le monde… avec gourmandise !","3,4","3,8"
Les Trois Mousquetaires: Milady,13 décembre 2023,1h 55min,[],N/A,"['François Civil', 'Vincent Cassel']","Du Louvre au Palais de Buckingham, des bas-fonds de Paris au siège de La Rochelle… dans un Royaume divisé par les guerres de religion et menacé d’invasion par l’Angleterre, une poignée d’hommes et de femmes vont croiser leurs épées et lier leur destin à celui de la France.","3,3","3,7"
Chasse gardée,20 décembre 2023,1h 41min,[],N/A,"['Didier Bourdon', 'Hakim Jemili']","Dans un village sans histoire, une maison de rêve en pleine nature est à vendre. Pour Simon et Adelaïde, à l’étroit dans leur appartement parisien avec leurs deux enfants, c’est l’occasion idéale de faire le grand saut et de quitter l’enfer de la ville. Mais le rêve se transforme rapidement en cauchemar quand ils réalisent que leurs si sympathiques voisins utilisent leur jardin… comme terrain de chasse !","3,0","3,2"
Vermines,27 décembre 2023,1h 45min,[],N/A,"['Théo Christine', 'Sofia Lesaffre']","Face à une invasion d'araignées, les habitants d'un immeuble vont devoir survivre.","3,6","3,8"
La Tresse,29 novembre 2023,1h 59min,[],N/A,"['Kim Raver', 'Fotinì Peluso']","Trois vies, trois femmes, trois continents. Trois combats à mener. Si elles ne se connaissent pas, Smita, Giulia et Sarah sont liées sans le savoir par ce qu'elles ont de plus intime et de plus singulier.","2,4","4,2"
Aquaman et le Royaume perdu,20 décembre 2023,2h 04min,[],N/A,"['Jason Momoa', 'Patrick Wilson']","Black Manta, toujours hanté par le désir de venger son père, est maintenant plus puissant que jamais avec le légendaire Trident Noir entre ses mains. Pour l’anéantir, Aquaman doit s’associer à son frère Orm ancien roi d’Atlantide et actuellement emprisonné.","1,8","2,7"
Priscilla,3 janvier 2024,1h 53min,[],N/A,"['Cailee Spaeny', 'Jacob Elordi']","Quand Priscilla rencontre Elvis, elle est collégienne. Lui, à 24 ans, est déjà une star mondiale. De leur idylle secrète à leur mariage iconique, Sofia Coppola dresse le portrait de Priscilla, une adolescente effacée qui lentement se réveillera de son conte de fées pour prendre sa vie en main.","3,9","3,2"
Les SEGPA au ski,27 décembre 2023,1h 42min,[],N/A,"['Ichem Bougheraba', 'Emma Smet']","Les Segpa se retrouvent pour une nouvelle année scolaire riche en aventures, propulsés directement en Terminale. Deux challenges majeurs les attendent : la réussite de leur bac et leur participation soudaine aux Olympiades d’hiver inter-lycées.","2,0","1,2"
Iris et les hommes,3 janvier 2024,1h 38min,[],N/A,"['Laure Calamy', 'Vincent Elbaz']","Un mari formidable, deux filles parfaites, un cabinet dentaire florissant : tout va bien pour Iris. Mais depuis quand n’a-t-elle pas fait l’amour ? Peut-être est-il temps de prendre un amant. S'inscrivant sur une banale appli de rencontre, Iris ouvre la boite de Pandore.","2,9","2,4"
L'Innocence,27 décembre 2023,2h 06min,[],N/A,"['Sakura Andô', 'Eita Nagayama']","Le comportement du jeune Minato est de plus en plus préoccupant. Sa mère, qui l’élève seule depuis la mort de son époux, décide de confronter l’équipe éducative de l’école de son fils. Tout semble désigner le professeur de Minato comme responsable des problèmes rencontrés par le jeune garçon.","3,9","4,1"
Winter Break,13 décembre 2023,2h 14min,[],N/A,"['Paul Giamatti', 'Da’vine Joy Randolph']","Hiver 1970 : M. Hunham est professeur d’histoire ancienne dans un prestigieux lycée d’enseignement privé pour garçons de la Nouvelle-Angleterre. Pédant et bourru, il n’est apprécié ni de ses élèves ni de ses collègues. Alors que Noël approche, M. Hunham est prié de rester sur le campus pour surveiller la poignée de pensionnaires consignés sur place.","3,8","4,1"
Wish - Asha et la bonne étoile,29 novembre 2023,1h 42min,[],N/A,"['Océane Demontis', 'Ariana DeBose']","Jeune fille de 17 ans à l’esprit vif, Asha vit dans un royaume fantastique où tous les souhaits peuvent littéralement s’exaucer. Dans un moment de désespoir, elle adresse un vœu aux étoiles auquel va répondre une force cosmique : une petite boule d’énergie infinie prénommée Star.","2,5","3,0"
Migration,6 décembre 2023,1h 22min,[],N/A,"['Pio Marmaï', 'Kumail Nanjiani']",La famille Colvert se lance dans un périple vers la Jamaïque mais leur plan si bien tracé va vite battre de l’aile. La tournure aussi chaotique et inattendue que vont prendre les évènements va les changer à jamais et leur apprendre beaucoup plus qu’ils ne l’auraient imaginé.,"3,8","4,0"
"Bonnard, Pierre et Marthe",10 janvier 2024,2h 02min,[],N/A,"['Cécile de France', 'Vincent Macaigne']",Pierre Bonnard ne serait pas le peintre que tout le monde connaît sans l’énigmatique Marthe qui occupe à elle seule presque un tiers de son œuvre…,"2,8","3,2"
Jeff Panacloc - À la poursuite de Jean-Marc,20 décembre 2023,1h 30min,[],N/A,"['Jeff Panacloc', 'Claude Perron']","Jeff Panacloc et Jean-Marc, le duo qui a conquis des millions de spectateurs, débarque pour la première fois au cinéma !","2,4","2,9"
Jeff Panacloc - À la poursuite de Jean-Marc,20 décembre 2023,1h 30min,[],N/A,"['Jeff Panacloc', 'Claude Perron']","Jeff Panacloc et Jean-Marc, le duo qui a conquis des millions de spectateurs, débarque pour la première fois au cinéma !","2,4","2,9"
Anatomie d’une chute,23 août 2023,2h 31min,[],N/A,"['Sandra Hüller', 'Swann Arlaud']","Sandra, Samuel et leur fils malvoyant de 11 ans, Daniel, vivent depuis un an loin de tout, à la montagne. Un jour, Samuel est retrouvé mort au pied de leur maison. Une enquête pour mort suspecte est ouverte. Sandra est bientôt inculpée malgré le doute : suicide ou homicide ? Un an plus tard, Daniel assiste au procès de sa mère, véritable dissection du couple.","4,4","4,3"
Rebel Moon: Partie 1 - Enfant du feu,22 décembre 2023,2h 13min,[],N/A,"['Sofia Boutella', 'Charlie Hunnam']",Une paisible colonie sur une lune lointaine est soudain menacée par les armées d'un tyran et place tous ses espoirs de survie entre les mains d'une mystérieuse inconnue.,"2,6","2,5"
Le Monde après nous,8 décembre 2023,2h 18min,[],N/A,"['Julia Roberts', 'Mahershala Ali']",Une famille qui rêvait d'une pause dans une luxueuse maison de location plonge en plein chaos après une cyberattaque qui neutralise tout appareil – et l'irruption de deux inconnus.,"3,6","2,7"
