Title,Date,Duration,Note_Imdb,User_score_1,Synopsis
Les évadés,1994,2h 22m,"9,3 (2,8 M)",82,"Le banquier Andy Dufresne est arrêté pour avoir tué sa femme et son amant. Après une dure adaptation, il tente d'améliorer les conditions de la prison et de redonner de l'espoir à ses compagnons."
12th Fail,2023,2h 27m,"9,2 (81 k)",N/A,"L'histoire réelle de Manoj Kumar Sharma, officier de l'IPS, et de Shraddha Joshi, officier de l'IRS."
Le Parrain,1972,2h 55m,"9,2 (2 M)",100,Le patriarche vieillissant d'une dynastie de la mafia New Yorkaise passe le flambeau de son empire clandestin à son fils réticent.
The Dark Knight : Le Chevalier noir,2008,2h 32m,"9,0 (2,8 M)",84,"Lorsqu'une menace mieux connue sous le nom du Joker émerge de son passé mystérieux et déclenche le chaos sur la ville de Gotham, Batman doit faire face au plus grand des défis psychologique et physique afin de combattre l'injustice."
Le Seigneur des anneaux : Le Retour du roi,2003,3h 21m,"9,0 (1,9 M)",94,Gandalf et Aragorn mènent le monde des hommes contre l'armée de Sauron pour éloigner son regard de Frodon et Sam lorsqu'ils s'approchent du Mont Destin avec l'Anneau.
La liste de Schindler,1993,3h 15m,"9,0 (1,4 M)",95,"Dans la Pologne occupée par les Allemands durant la Seconde Guerre mondiale, Oskar Schindler se préoccupe peu à peu de sa main-d'oeuvre juive après avoir été témoin de la persécution des Allemands nazis."
"Le Parrain, 2ᵉ partie",1974,3h 22m,"9,0 (1,3 M)",90,"La vie et la carrière de Vito Corleone dans les années 1920 à New York alors que son fils, Michael, élargit et renforce son emprise sur le syndicat du crime familial."
12 Hommes en colère,1957,1h 36m,"9,0 (850 k)",97,Un juré réfractaire tente d'empêcher une erreur judiciaire en forçant les autres membres du jury à réexaminer les preuves.
Le Seigneur des anneaux : La Communauté de l'anneau,2001,2h 58m,"8,9 (2 M)",92,Un Hobbit du Comté et ses huit compagnons se mettent en route pour détruire le puissant anneau unique et sauver la Terre du Milieu du terrible Sauron.
Pulp Fiction,1994,2h 34m,"8,9 (2,2 M)",95,"Les vies de deux hommes de main, d'un boxeur, de la femme d'un gangster et de deux braqueurs s'entremêlent dans quatre histoires de violence et de rédemption."
Inception,2010,2h 28m,"8,8 (2,5 M)",74,"Un voleur qui s'approprie des secrets d'entreprise à l'aide d'une technique de partage de rêves se voit contraint d'effectuer la tâche inverse : implanter une idée dans l'esprit d'un PDG, pour revoir ses enfants."
Fight Club,1999,2h 19m,"8,8 (2,3 M)",67,Un employé de bureau insomniaque et un fabriquant de savons forment un club de combat clandestin qui devient beaucoup plus que ça.
Forrest Gump,1994,2h 22m,"8,8 (2,2 M)",82,"Les présidences de Kennedy et Johnson, le Vietnam, le Watergate et d'autres histoires se déroulent à travers la perspective d'un homme d'Alabama avec un QI de 75."
Le Seigneur des anneaux : Les Deux Tours,2002,2h 59m,"8,8 (1,8 M)",87,"Tandis que Frodon et Sam se rapprochent de Mordor avec l'aide de Gollum, la communauté divisée prend position contre le nouvel allié de Sauron, Saruman, et ses hordes d'Isengard."
"Le bon, la brute et le truand",1966,2h 41m,"8,8 (801 k)",90,Une arnaque à la chasse aux primes associe deux hommes à une alliance difficile contre un troisième dans une course à la recherche d'une fortune en or enfouie dans un cimetière éloigné.
777 Charlie,2022,2h 44m,"8,8 (39 k)",N/A,Dharma est coincé dans une ornière avec son style de vie négatif et solitaire et passe chaque jour dans le confort de sa solitude. Un chiot nommé Charlie entre dans sa vie et lui donne une nouvelle perspective à son égard.
Interstellar,2014,2h 49m,"8,7 (2 M)",74,"Dans un monde post-apocalyptique et en famine, une équipe d'explorateurs cherche une nouvelle planète habitable pour l'espèce humaine."
Vol au-dessus d'un nid de coucou,1975,2h 13m,"8,7 (1,1 M)",84,Un criminel plaide la folie après s'être à nouveau attiré des ennuis et une fois interné se rebelle contre l'infirmière oppressante et rallie les patients effrayés.
Les affranchis,1990,2h 25m,"8,7 (1,2 M)",92,"L'histoire d'Henry Hill et de sa vie dans la mafia, couvrant ses relations avec son épouse Karen Hill et ses partenaires de la mafia Jimmy Conway et Tommy DeVito dans le syndicat du crime italo-américain."
Matrix,1999,2h 16m,"8,7 (2 M)",73,Un pirate informatique découvre par de mystérieux rebelles la véritable nature de sa réalité et son rôle dans la guerre contre ceux qui la contrôlent.
L'Empire contre-attaque,1980,2h 4m,"8,7 (1,4 M)",82,"Après que les rebelles soient brutalement maîtrisés par l'Empire sur la planète de glace Hoth, Luke Skywalker commence son entraînement de Jedi avec Yoda, tandis que ses amis sont poursuivis par Dark Vador."
Jai Bhim,2021,2h 44m,"8,7 (215 k)",N/A,"Lorsqu'un homme tribal est arrêté pour une affaire de vol présumé, sa femme se tourne vers un avocat des droits de l'homme pour aider à rendre justice."
Rocketry: The Nambi Effect,2022,2h 37m,"8,7 (58 k)",N/A,"Basé sur la vie du scientifique de l'ISRO Nambi Narayanan qui a été faussement accusé d'être un espion et arrêté en 1994. Bien que libre, il se bat toujours pour la justice."
Soorarai Pottru,2020,2h 33m,"8,7 (123 k)",N/A,"Nedumaaran Rajangam ""Maara"" tente de faire voler l'homme ordinaire et s'attaque à l'industrie la plus capitaliste du monde et à plusieurs ennemis qui se dressent sur son chemin."
Spider-Man: Across the Spider-Verse,2023,2h 20m,"8,6 (334 k)",86,"Miles se catapulte à travers le multivers, en rencontrant une équipe chargée de protéger l'existence du Multivers. Lorsque les héros s'opposent sur la façon de gérer une nouvelle menace Miles doit redéfinir ce que signifie être un héros."
Le Silence des agneaux,1991,1h 58m,"8,6 (1,5 M)",86,"Une jeune élève officier du FBI doit obtenir l'aide d'un tueur cannibale et manipulateur incarcéré afin d'aider à attraper un autre tueur en série, un fou qui retire la peau de ses victimes."
Seven,1995,2h 7m,"8,6 (1,8 M)",65,"Deux détectives, une recrue et un ancien combattant, chassent un tueur en série qui utilise les sept péchés capitaux comme motif pour tuer."
Terminator 2 : Le jugement dernier,1991,2h 17m,"8,6 (1,2 M)",75,"Un cyborg, identique à celui qui n'a pas réussi à tuer Sarah Connor, doit maintenant protéger son fils adolescent d'un cyborg plus avancé et plus puissant."
Le voyage de Chihiro,2001,2h 5m,"8,6 (831 k)",96,"Lorsque sa famille déménage en banlieue, une fillette de dix ans renfrognée découvre un monde régi par des dieux, des sorcières et des esprits où les humains sont transformés en animaux."
Star Wars: Épisode IV - Un nouvel espoir,1977,2h 1m,"8,6 (1,4 M)",90,"Luke Skywalker se joint à un chevalier Jedi, un pilote arrogant, un Wookiee et à deux droïdes pour sauver la galaxie de l'Empire, tout en essayant de sauver la princesse Léia du maléfique Dark Vador."
La ligne verte,1999,3h 9m,"8,6 (1,4 M)",61,"La vie des gardes du couloir de la mort est touchée par l'un de leurs détenus: a homme noir accusé de meurtre et de viol d'enfants, doté d'un pouvoir mystérieux."
Il faut sauver le soldat Ryan,1998,2h 49m,"8,6 (1,5 M)",91,"À la suite du débarquement en Normandie, un groupe de soldats américains passe derrière les lignes ennemies pour récupérer un parachutiste dont les frères ont été tués au combat."
La cité de Dieu,2002,2h 10m,"8,6 (792 k)",79,"Dans les bidonvilles de Rio, les chemins de deux enfants divergent à mesure que l'un tente de devenir photographe et l'autre un baron de la drogue."
La vie est belle,1946,2h 10m,"8,6 (494 k)",89,Un ange est envoyé sur Terre pour aider un homme d'affaires désespérément frustré et lui montrer à quoi la vie aurait ressemblé s'il n'avait jamais existé.
La vie est belle,1997,1h 56m,"8,6 (734 k)",59,"Lorsqu'un bibliothécaire juif ouvert d'esprit et son fils sont victimes de l'Holocauste, il utilise un mélange parfait de volonté, d'humour et d'imagination pour protéger son fils des dangers qui les entourent."
Les 7 Samouraïs,1954,3h 27m,"8,6 (363 k)",98,Un village pauvre qui est la cible des attaques de bandits recrute sept samouraïs sans maître pour les défendre.
Harakiri,1962,2h 13m,"8,6 (66 k)",85,"Tsugumo, un miséreux rōnin, se rend dans le palais du seigneur de la région pour se faire seppuku. Il souhaite, avant son suicide, raconter son histoire et ses liens avec la précédente personne ayant fait harakiri dans ce lieu."
Sita Ramam,2022,2h 43m,"8,6 (66 k)",N/A,"La vie du lieutenant Ram change après avoir reçu une lettre d'une fille, Sita. Il la rencontre et l'amour s'épanouit entre eux. De retour dans son camp au Cachemire, il envoie une lettre à Sita qui n'arrivera jamais."
Parasite,2019,2h 12m,"8,5 (924 k)",96,"Toute la famille de Ki-taek est au chômage, et s'intéresse fortement au train de vie de la richissime famille Park, jusqu'à ce qu'ils soient impliqués dans un incident inattendu."
Gladiator,2000,2h 35m,"8,5 (1,6 M)",67,Un ancien général romain cherche à se venger de l'empereur corrompu qui a assassiné sa famille et condamné à l'esclavage.
Whiplash,2014,1h 46m,"8,5 (962 k)",89,Un jeune batteur prometteur s'inscrit dans un conservatoire de musique renommé où ses rêves de grandeur sont encadrés par un professeur qui ne recule devant rien pour réaliser le potentiel de ses étudiants.
Alien - Le 8ème passager,1979,1h 57m,"8,5 (936 k)",89,"Un vaisseau spatial perçoit une transmission non-identifiée comme un signal de détresse. Lors de son atterrissage, l'un des membres de l'équipage est attaqué par une mystérieuse forme de vie, ils réalisent rapidement que son cycle de vie vient seulement de commencer."
Le Prestige,2006,2h 10m,"8,5 (1,4 M)",66,"Après un tragique accident, deux magiciens se lancent dans un combat pour créer l'illusion ultime en sacrifiant tout ce qu'ils ont pour déjouer les tours de l'autre."
Les infiltrés,2006,2h 31m,"8,5 (1,4 M)",85,Un policier en civil et un espion dans la police tentent de s'identifier en infiltrant un gang irlandais à South Boston.
Retour vers le futur,1985,1h 56m,"8,5 (1,3 M)",87,"Marty McFly, un lycéen de 17 ans, est accidentellement envoyé trente ans plus tôt avec une voiture DeLorean qui voyage dans le temps, inventé par son ami le scientifique non-conformiste Doc Brown."
